Slug,Date,Open,High,Low,Close,Volume,Market Cap
ripple,Jan 19/ 2018,1.58,1.70,1.50,1.55,3697430000,61291900000
ripple,Jan 18/ 2018,1.31,1.73,1.26,1.60,9110440000,50577100000
ripple,Jan 17/ 2018,1.18,1.38,0.897797,1.31,7251210000,45854700000
ripple,Jan 16/ 2018,1.68,1.70,0.909313,1.18,5687960000,65018400000
ripple,Jan 15/ 2018,1.86,1.90,1.67,1.68,1838460000,71909400000
ripple,Jan 14/ 2018,2.02,2.02,1.81,1.86,1978200000,78195800000
ripple,Jan 13/ 2018,2.05,2.12,1.98,2.02,2130170000,79469700000
ripple,Jan 12/ 2018,1.94,2.16,1.87,2.04,3330810000,75172500000
ripple,Jan 11/ 2018,1.98,2.25,1.62,1.95,6296120000,76711800000
ripple,Jan 10/ 2018,2.13,2.16,1.70,1.97,4833640000,82511000000
ripple,Jan 09/ 2018,2.44,2.53,1.98,2.10,3694700000,94657500000
ripple,Jan 08/ 2018,3.36,3.36,2.07,2.46,3315260000,130302000000
ripple,Jan 07/ 2018,3.09,3.49,3.08,3.38,2395150000,119819000000
ripple,Jan 06/ 2018,3.02,3.24,2.99,3.09,2777560000,117033000000
ripple,Jan 05/ 2018,3.30,3.56,2.83,3.05,6288500000,127870000000
ripple,Jan 04/ 2018,3.12,3.84,3.12,3.20,8103660000,120763000000
ripple,Jan 03/ 2018,2.46,3.28,2.44,3.11,6635880000,95457200000
ripple,Jan 02/ 2018,2.37,2.49,2.25,2.48,3171010000,91791800000
ripple,Jan 01/ 2018,2.30,2.39,2.15,2.39,1894230000,88945900000
litecoin,Feb 23/ 2018,194.19,216.13,184.07,209.31,1065680000,10746100000
litecoin,Feb 22/ 2018,212.84,222.77,191.81,195.31,974379000,11774800000
litecoin,Feb 21/ 2018,230.95,235.41,208.93,213.35,1195820000,12773200000
litecoin,Feb 20/ 2018,223.09,253.90,222.51,232.85,1739670000,12335100000
litecoin,Feb 19/ 2018,215.41,226.97,215.38,223.06,767597000,11907900000
litecoin,Feb 18/ 2018,230.51,232.64,214.46,215.74,1011120000,12738800000
litecoin,Feb 17/ 2018,229.50,233.45,225.60,229.47,863401000,12679700000
litecoin,Feb 16/ 2018,225.50,236.09,212.33,230.12,1300090000,12455300000
litecoin,Feb 15/ 2018,212.35,237.88,211.17,225.43,2087290000,11725700000
litecoin,Feb 14/ 2018,159.58,218.23,159.58,213.36,2383340000,8809590000
litecoin,Feb 13/ 2018,161.78,162.37,153.51,159.55,483468000,8928360000
litecoin,Feb 12/ 2018,150.10,163.35,150.10,161.57,535710000,8282050000
litecoin,Feb 11/ 2018,155.39,155.73,142.61,148.99,495720000,8571530000
litecoin,Feb 10/ 2018,163.49,169.33,149.14,155.59,576328000,9015890000
litecoin,Feb 09/ 2018,149.73,163.98,142.59,163.95,722205000,8254980000
litecoin,Feb 08/ 2018,138.34,151.08,138.34,149.47,869207000,7624630000
litecoin,Feb 07/ 2018,142.48,157.90,131.52,138.20,817808000,7851100000
litecoin,Feb 06/ 2018,127.52,146.11,106.94,142.99,1148410000,7024630000
litecoin,Feb 05/ 2018,148.73,153.52,118.15,125.33,844678000,8190580000
litecoin,Feb 04/ 2018,160.38,173.80,139.69,148.03,1006080000,8829970000
litecoin,Feb 03/ 2018,131.40,165.56,121.17,160.25,687676000,7232410000
litecoin,Feb 02/ 2018,142.56,142.56,105.35,131.38,815540000,7844710000
litecoin,Feb 01/ 2018,163.68,165.81,131.55,142.30,539880000,9004330000
litecoin,Jan 31/ 2018,165.30,167.07,157.65,163.35,363293000,9090870000
litecoin,Jan 30/ 2018,181.44,181.52,163.03,165.28,433227000,9976170000
litecoin,Jan 29/ 2018,193.75,194.39,179.23,181.66,303561000,10649800000
litecoin,Jan 28/ 2018,181.42,194.68,181.42,193.87,363515000,9969420000
litecoin,Jan 27/ 2018,176.66,183.15,174.88,180.89,291633000,9705020000
litecoin,Jan 26/ 2018,179.82,182.89,167.08,176.73,375477000,9875590000
litecoin,Jan 25/ 2018,181.56,185.42,176.35,180.27,363138000,9968750000
litecoin,Jan 24/ 2018,178.43,186.28,173.72,179.99,375949000,9793780000
litecoin,Jan 23/ 2018,180.28,186.31,165.73,177.81,441765000,9892990000
litecoin,Jan 22/ 2018,191.79,195.25,166.88,180.01,494091000,10521900000
litecoin,Jan 21/ 2018,211.24,211.24,184.64,190.42,463516000,11585700000
litecoin,Jan 20/ 2018,194.38,214.59,194.38,211.02,540786000,10658300000
litecoin,Jan 19/ 2018,191.19,202.07,186.94,192.96,560284000,10480800000
litecoin,Jan 18/ 2018,186.95,207.02,176.83,192.84,936784000,10245500000
litecoin,Jan 17/ 2018,190.15,197.79,141.01,186.52,1422490000,10417800000
litecoin,Jan 16/ 2018,232.82,232.82,152.29,188.33,1405070000,12752100000
litecoin,Jan 15/ 2018,237.29,245.00,232.77,232.77,601770000,12993700000
litecoin,Jan 14/ 2018,260.58,270.85,234.27,238.68,886415000,14265000000
litecoin,Jan 13/ 2018,236.88,263.19,236.88,259.19,961043000,12964300000
litecoin,Jan 12/ 2018,229.79,243.59,224.82,236.86,691160000,12572900000
litecoin,Jan 11/ 2018,251.52,255.05,223.00,229.37,1079390000,13758400000
litecoin,Jan 10/ 2018,248.07,251.05,233.86,250.52,1009910000,13566300000
litecoin,Jan 09/ 2018,254.61,258.50,240.18,247.04,940825000,13920200000
litecoin,Jan 08/ 2018,287.73,289.07,237.66,255.76,1182080000,15726800000
litecoin,Jan 07/ 2018,296.05,305.53,281.93,288.45,1055400000,16178100000
litecoin,Jan 06/ 2018,249.77,323.12,249.41,296.45,2264740000,13645300000
litecoin,Jan 05/ 2018,241.03,256.15,237.88,249.27,1710600000,13164800000
litecoin,Jan 04/ 2018,245.47,245.47,227.01,241.37,3481550000,13403400000
litecoin,Jan 03/ 2018,255.69,260.74,243.13,245.37,3215280000,13957800000
litecoin,Jan 02/ 2018,228.99,263.63,228.99,255.68,1237950000,12496900000
litecoin,Jan 01/ 2018,231.67,236.63,222.20,229.03,633142000,12639700000
neo,Feb 23/ 2018,113.39,123.85,110.86,121.65,189394000,7370080000
neo,Feb 22/ 2018,120.62,126.93,111.89,114.08,193746000,7840040000
neo,Feb 21/ 2018,127.67,130.21,118.08,120.96,207330000,8298400000
neo,Feb 20/ 2018,137.95,142.01,127.86,128.36,239238000,8966490000
neo,Feb 19/ 2018,127.23,138.52,126.70,137.47,201551000,8270290000
neo,Feb 18/ 2018,136.40,137.95,124.32,127.38,207624000,8866100000
neo,Feb 17/ 2018,131.03,139.80,129.42,136.75,286385000,8516620000
neo,Feb 16/ 2018,123.02,130.62,119.94,128.85,194878000,7996380000
neo,Feb 15/ 2018,122.00,125.76,118.79,123.29,218616000,7930300000
neo,Feb 14/ 2018,110.86,123.03,110.86,122.52,228693000,7206140000
neo,Feb 13/ 2018,113.64,114.93,108.64,111.17,176966000,7386420000
neo,Feb 12/ 2018,104.18,115.85,104.18,113.25,272089000,6771600000
neo,Feb 11/ 2018,110.45,113.19,96.78,103.40,257944000,7179000000
neo,Feb 10/ 2018,117.21,122.84,104.98,110.63,355323000,7618880000
neo,Feb 09/ 2018,111.99,117.65,108.84,117.57,212450000,7279310000
neo,Feb 08/ 2018,104.06,117.00,104.06,112.43,546733000,6763560000
neo,Feb 07/ 2018,105.13,118.50,94.94,102.50,571724000,6833700000
neo,Feb 06/ 2018,84.07,109.21,64.88,105.95,659946000,5464510000
neo,Feb 05/ 2018,107.58,108.97,75.75,82.37,312096000,6992380000
neo,Feb 04/ 2018,122.22,124.01,102.03,107.45,203674000,7943970000
neo,Feb 03/ 2018,121.03,127.28,106.91,122.97,255707000,7867210000
neo,Feb 02/ 2018,125.64,129.19,91.96,120.13,552639000,8166710000
neo,Feb 01/ 2018,145.96,147.16,115.27,126.00,356495000,9487200000
neo,Jan 31/ 2018,145.40,148.18,133.32,145.76,357309000,9451090000
neo,Jan 30/ 2018,168.86,173.75,140.13,146.28,670295000,10976100000
neo,Jan 29/ 2018,152.08,168.14,151.46,168.14,602514000,9885260000
neo,Jan 28/ 2018,140.37,153.61,140.37,152.16,246175000,9124100000
neo,Jan 27/ 2018,138.14,142.07,134.35,140.20,207868000,8979150000
neo,Jan 26/ 2018,137.75,141.13,126.53,137.89,324067000,8953600000
neo,Jan 25/ 2018,138.09,146.94,134.58,138.00,315010000,8976150000
neo,Jan 24/ 2018,122.57,144.12,118.15,136.41,433360000,7966980000
neo,Jan 23/ 2018,123.37,129.71,110.18,121.60,263389000,8018770000
neo,Jan 22/ 2018,132.30,137.78,112.38,123.66,346611000,8599480000
neo,Jan 21/ 2018,150.23,150.23,126.20,131.09,346048000,9764800000
neo,Jan 20/ 2018,140.49,157.19,138.65,149.94,501671000,9132020000
neo,Jan 19/ 2018,141.25,150.15,132.97,139.50,494800000,9181130000
neo,Jan 18/ 2018,142.60,159.49,129.85,142.66,838634000,9269200000
neo,Jan 17/ 2018,144.72,154.29,94.57,141.37,1587920000,9407150000
neo,Jan 16/ 2018,187.97,187.97,104.29,145.30,1664430000,12217900000
neo,Jan 15/ 2018,170.10,196.85,147.40,187.41,1455620000,11056500000
neo,Jan 14/ 2018,140.56,176.83,135.92,170.42,648694000,9136460000
neo,Jan 13/ 2018,124.15,146.51,124.15,140.62,455703000,8069500000
neo,Jan 12/ 2018,109.19,126.55,105.25,124.47,234757000,7097050000
neo,Jan 11/ 2018,123.10,124.33,102.66,108.30,270718000,8001780000
neo,Jan 10/ 2018,127.23,127.26,111.05,122.99,361797000,8270280000
neo,Jan 09/ 2018,102.07,129.87,101.84,126.94,529663000,6634310000
neo,Jan 08/ 2018,102.12,108.60,90.68,102.38,231395000,6638000000
neo,Jan 07/ 2018,101.12,108.52,99.20,102.43,196621000,6572870000
neo,Jan 06/ 2018,95.31,103.13,91.90,100.86,187746000,6195060000
neo,Jan 05/ 2018,98.91,106.24,89.58,95.28,292933000,6429220000
neo,Jan 04/ 2018,104.79,109.20,96.24,99.11,332546000,6811420000
neo,Jan 03/ 2018,90.30,105.56,86.89,105.56,288086000,5869250000
